212 / 215 done,Term,Context/Tag/Category,Definition,Original definition,Source,2,Term,Context/Tag/Category,Definition,Source,,Overlap,#VALUE!,,,,,,,,,,,,,,
RMB,AAI,Security Management,"An abbreviation of ""authentication and authorisation infrastructure"", AAI refers to the technical mechanisms used to verify and manage users' access to computer systems.
See also: [Access Control]; [Authentication]; [Authorisation].",,WG,,,,,,,,,,,,,,,,,,,,,,
RMB,Access Control,Security Management,"The technical mechanism for controlling a known (authenticated) user’s access to a system and its underlying assets such as data. Access control is also referred to as authorisation (and shorthanded as “AuthZ” to distinguish it from authentication), as it determines what the user is authorised to do.
See also: [AAI]; [Authentication]; [Authorisation].","The technical mechanism for controlling a known (Authenticated) user’s access to the system. Sometimes referred to as Authorisation (and shorthanded as “Auth” often in concert with Authentication), as it determines what a user is authorised to do. Hutch and Bitfount use “Role Based Access Control” (RBAC) so a suitable administrator (e.g. of a project, or a TRE) can configure that certain Users have certain Roles, and those Roles have Permissions to perform authorised actions. In Hutch, Access Control checks for a user will take place after they are authenticated, by both the Submissions Layer outside a TRE and the Polling Layer inside a TRE, to ensure they are allowed to do what they are asking.  ",DARE,,,,"Access Control is the technical mechanism that determines what actions an authenticated user is authorized to perform within a system. Often referred to as Authorization (or ""Auth""), it defines the permissions granted to a user. Systems commonly use Role-Based Access Control (RBAC), allowing administrators to assign specific roles to users, with each role granting certain permissions.",BS edit,,,,,,,,,,,,,,,,,
RMB,Administrative Data,Data in general,[See also: Administrative data in https://www.adruk.org/learning-hub/glossary/] ,,,,,,,,,,,,,,,,,,,,,,,,
RMB,Algorithm,Computing,"A sequence of computational steps for processing data to achieve a particular outcome. Algorithms can range from the simple (add up a set of numbers) to the complex (use complicated mathematics to search for patterns in image data). Algorithms are usually described generally, as mathematics or in words, in contrast to computer programs which are written in specific computer languages.","An algorithm is like a recipe or set of rules that tells a computer how to work with the data. It helps the computer process and understand the information by following a series of steps. Algorithms can do things like organising data, searching for specific pieces of information, or making calculations.",DM,,,,"An algorithm is a set of rules or instructions that tells a computer how to process data. It guides the computer through a series of steps to organize, search, or perform calculations on the data.",BS edit,,,,,,,,,,,,,,,,,
RMB,Analysis,Computing,"Also Data Analysis. Techniques that produce knowledge from organised information. Processes of inspecting, cleaning, transforming, and modelling data with the goal of highlighting useful information, suggesting conclusions and supporting decision making. Data analysis has multiple facets and approaches, encompassing diverse techniques under a variety of names, in different business, science, and social science domains.
[See also: Data Analysis in https://terms.codata.org/rdmt/data-analysis] ",,,,,,,,,,,,,,,,,,,,,,,,
RMB,Anonymisation,Identifiability,"The process of making personally identifiable data anonymous so that individuals can no longer be identified. In contrast to pseudonymisation, true anonymisation cannot be reversed.
See also: [Pseudonymisation].","Anonymisation makes data anonymous by removing anything that could identify people. Think about a database with blood test results, diagnoses, and ages, but no personal details. It's like making the data a secret puzzle—no one knows who it's about. This keeps the data private so no one can recognise individuals. Anonymisation happens by changing or taking out personal information, or by using special software to hide private details. Yet, researchers can still use this data for answers without knowing who's who. This helps researchers learn from data while keeping it private.",DM,,,,"Anonymisation is the process of making data anonymous by removing or altering any information that could identify individuals. For example, a database may contain blood test results, diagnoses, and ages without including personal details. This ensures that the data remains private and individuals cannot be identified. Anonymisation can be achieved by removing or modifying personal information, or by using software to hide private details. Researchers can still use anonymised data to gain insights without knowing the identities of the individuals involved, allowing for privacy while enabling valuable research.",BS edit,,,,,,,,,,,,,,,,,
RMB,Application Deployment,Computing,"The process of installing, configuring, and making software applications available for use within a given enviornment (eg, a [TRE]).","The process of installing, configuring, and making software applications available for use within the TRE.",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Application Programming Interface (API),Computing,"A type of software interface that provides a way for two or more computer programs to communicate with each other. In contrast to a user interface, which connects a computer to a person, an application programming interface connects computers or pieces of software to each other.","An abbreviation for Application Programming Interface, an API is a type of software interface that provides a way for two or more computer programs to communicate with each other. In contrast to a user interface, which connects a computer to a person, an application programming interface connects computers or pieces of software to each other. An important trend in API design is the RESTfull concept, which now dominates all APIs due to its simplifying principles.",DARE,,,,"An API, short for Application Programming Interface, is a software interface that allows different computer programs to communicate with each other. Unlike a user interface, which connects a computer to a person, an API connects computers or software systems to each other. ",BS edit,BS comment: should reference to RESTful approach? If we do we need a definiton of RESTful API,,,,,,,,,,,,,,,,
RMB,Application Stack,Computing,"A number of applications, tools and other software that work in concert to form a complete software solution.","An application stack is a number of applications or tools that work in concert to form a complete software solution. Hutch is an application stack consisting of several components, some of which are developed as part of Hutch itself, and others are pre-existing and used to complete the whole solution. ",DARE,,,,"An application stack is a collection of software components or technologies that work together to build and run an application. It typically includes an operating system, database, web server, and programming frameworks or languages. Each layer of the stack supports a specific part of the application's functionality",BS edit,,,,,,,,,,,,,,,,,
RMB,Artificial Intelligence (AI),Computing,"A branch of computer science that aims to create technology and systems that perform tasks and make decisions in ways that resemble human intelligence. AI systems can be built in various ways, with the most common current method being Machine Learning.
Examples: A chess-playing computer program is an example of a specialised AI system (it can play chess, but nothing else). The programs inside a modern robot that can climb stairs and walk over uneven ground is an example of a more general AI system.
See also: [Machine Learning].","Artificial Intelligence (AI) is a branch of science that aims to create technology that may perform tasks and make decisions in a way that resembles human intelligence.
AI has advanced from rule-based systems to complex algorithms like deep learning. However, it lacks common sense, true understanding, and emotions, unlike human intelligence. Exaggerated expectations have led to misconceptions about AI's capabilities.
Potential pros of AI:
Efficiency: AI may automate tasks, boosting productivity.
Insights: AI may analyse data for better decision-making.
Personalisation: AI may tailor recommendations to individual preferences.
Healthcare: AI may aid in diagnosing medical conditions.
Language: AI could translate languages in real-time.
Automation: AI-driven robots may streamline industries.

Potential concerns about AI:
Bias: AI may perpetuate biases in its decisions.
Job Impact: Automation might lead to job displacement.
Privacy: AI's data use may raise privacy questions.
Ethics: AI decisions may raise ethical dilemmas.
Security: AI systems may be vulnerable to attacks.
Data Dependence: AI's accuracy might rely on quality data.

Example: Large-Language Models:
Large-language models like GPT-3 exemplify AI. They understand and generate human-like text. These models fall under Natural Language Processing (NLP), part of machine learning, where computers learn from data patterns.

In essence, AI has made strides, but gaps remain in achieving human-like intelligence. Balancing benefits and concerns is crucial for responsible AI use.",DM,,,,,,,,,,,,,,,,,,,,,,
